AppName; LastStart; LastClose; LastSessionTime; SessionTime; TotalTimeSpent
EditYourList; 
ChangeName; 
Delete; 
Blacklist; 
Executable; 2024-05-08 15:33:49; ; 00:00:01; 00:00:00; 00:00
NVIDIAGeForceOverlay; 2024-05-08 15:33:49; ; 00:00:01; 00:00:00; 00:00
MicrosoftTextInputApplication; 2024-05-08 15:33:49; ; 00:00:01; 00:00:00; 00:00
Opera; 2024-05-08 15:33:49; ; 00:00:01; 00:00:00; 00:00
ProgramManager; 2024-05-08 15:33:49; ; 00:00:01; 00:00:00; 00:00
TimeUsage; 2024-05-08 15:33:49; 2024-05-08 15:33:32; 00:00:01; 00:00:00; 00:00
