AppName; LastStart; LastClose; LastSessionTime; SessionTime; TotalTimeSpent
EditYourList; 
ChangeName; 
Delete; 
QtCreator; 2024-05-04 17:25:44; ; 00:00:23; 00:00:00; 00:00
Debug; 2024-05-04 17:25:44; ; 00:00:23; 00:00:00; 00:00
Settings; 2024-05-04 17:25:44; ; 00:00:23; 00:00:00; 00:00
NVIDIAGeForceOverlay; 2024-05-04 17:25:44; ; 00:00:23; 00:00:00; 00:00
MicrosoftTextInputApplication; 2024-05-04 17:25:44; ; 00:00:23; 00:00:00; 00:00
Opera; 2024-05-04 17:25:44; ; 00:00:23; 00:00:00; 00:00
ProgramManager; 2024-05-04 17:25:44; ; 00:00:23; 00:00:00; 00:00
TimeUsage; 2024-05-04 17:25:45; 2024-05-04 17:25:44; 00:00:22; 00:00:00; 00:00
