AppName; LastStart; LastClose; LastSessionTime; SessionTime; TotalTimeSpent
Debug; 2024-04-27 18:24:39; ; 00:00:05; 00:00:00; 00:00
QtCreator; 2024-05-08 15:32:25; ; 00:00:01; 00:00:00; 00:00
Opera; 2024-05-08 15:32:25; ; 00:00:01; 00:00:00; 00:00
MediaPlayer; 2024-04-27 18:24:39; ; 00:00:05; 00:00:00; 00:00
NVIDIAGeForceOverlay; 2024-05-08 15:32:25; ; 00:00:01; 00:00:00; 00:00
Settings; 2024-05-08 13:52:49; ; 00:00:04; 00:00:00; 00:00
MicrosoftTextInputApplication; 2024-05-08 15:32:25; ; 00:00:01; 00:00:00; 00:00
ProgramManager; 2024-05-08 15:32:25; ; 00:00:01; 00:00:00; 00:00
TimeUsage; 2024-05-08 15:32:25; 2024-05-08 13:56:39; 00:00:01; 00:00:00; 00:00
EditString; 2024-05-08 13:49:32; 2024-05-08 13:49:24; 00:00:02; 00:00:00; 00:00
RegistryEditor; 2024-05-08 13:49:32; 2024-05-08 13:49:24; 00:00:02; 00:00:00; 00:00
Executable; 2024-05-08 15:32:25; 2024-05-08 13:52:53; 00:00:01; 00:00:00; 00:00
